======================================================================
  EXPERIMENT LOG
  Started : 2026-04-17 22:46:17
  File    : 2026-04-17_22-46_pw10_lr0.0005_hs512.log
======================================================================

-- HYPERPARAMETERS --------------------------------------------------

  [ Model ]
  input_features     : 84
  hidden_size        : 512
  lstm_layers        : 3
  dropout            : 0.4

  [ Training ]
  batch_size         : 16
  learning_rate      : 0.0005
  epochs             : 100
  pos_weight         : 10
  scheduler_patience : 8
  scheduler_factor   : 0.5

  [ Dataset ]
  chunk_duration     : 3.0 s
  sample_rate        : 22050 Hz

  [ Evaluation ]
  threshold          : 0.35

-- TRAINING ---------------------------------------------------------

  Epoch    Loss         LR             Time      
  -------- ------------ -------------- ----------
  1        0.526411     0.000500       55.5s     
  2        0.498740     0.000500       54.6s     
  3        0.500579     0.000500       54.2s     
  4        0.495866     0.000500       56.1s     
  5        0.481471     0.000500       54.9s     
  6        0.483531     0.000500       55.1s     
  7        0.487147     0.000500       58.6s     
  8        0.468417     0.000500       58.2s     
  9        0.451363     0.000500       57.2s     
  10       0.452879     0.000500       57.5s     
  11       0.445884     0.000500       59.5s     
  12       0.447806     0.000500       59.0s     
  13       0.436960     0.000500       58.0s     
  14       0.435377     0.000500       58.2s     
  15       0.421808     0.000500       59.1s     
  16       0.416734     0.000500       59.5s     
  17       0.408280     0.000500       58.4s     
  18       0.402706     0.000500       56.4s     
  19       0.395423     0.000500       55.7s     
  20       0.385110     0.000500       55.7s     
  21       0.372311     0.000500       55.2s     
  22       0.369686     0.000500       57.3s     
  23       0.364084     0.000500       55.4s     
  24       0.369936     0.000500       55.9s     
  25       0.358401     0.000500       57.1s     
  26       0.355657     0.000500       54.4s     
  27       0.354978     0.000500       54.2s     
  28       0.355624     0.000500       54.9s     
  29       0.339940     0.000500       57.0s     
  30       0.344449     0.000500       55.9s     
  31       0.334749     0.000500       54.6s     
  32       0.339234     0.000500       55.3s     
  33       0.338829     0.000500       54.5s     
  34       0.322791     0.000500       55.5s     
  35       0.330483     0.000500       56.0s     
  36       0.321648     0.000500       55.4s     
  37       0.311846     0.000500       54.5s     
  38       0.304495     0.000500       55.1s     
  39       0.302176     0.000500       57.2s     
  40       0.296738     0.000500       55.7s     
  41       0.291869     0.000500       55.2s     
  42       0.283507     0.000500       56.1s     
  43       0.287991     0.000500       54.4s     
  44       0.275347     0.000500       54.6s     
  45       0.275450     0.000500       56.4s     
  46       0.276047     0.000500       54.7s     
  47       0.267037     0.000500       55.8s     
  48       0.265968     0.000500       55.1s     
  49       0.269557     0.000500       54.7s     
  50       0.265257     0.000500       55.6s     
  51       0.263692     0.000500       54.4s     
  52       0.250901     0.000500       54.3s     
  53       0.248310     0.000500       56.9s     
  54       0.249064     0.000500       54.8s     
  55       0.258919     0.000500       56.3s     
  56       0.246097     0.000500       55.1s     
  57       0.249863     0.000500       54.3s     
  58       0.250232     0.000500       54.9s     
  59       0.237843     0.000500       54.6s     
  60       0.246095     0.000500       55.1s     
  61       0.235042     0.000500       55.4s     
  62       0.236324     0.000500       54.8s     
  63       0.232040     0.000500       55.0s     
  64       0.235062     0.000500       55.3s     
  65       0.228366     0.000500       55.1s     
  66       0.230775     0.000500       55.0s     
  67       0.223750     0.000500       55.6s     
  68       0.224306     0.000500       53.6s     
  69       0.217874     0.000500       55.7s     
  70       0.226339     0.000500       56.7s     
  71       0.217991     0.000500       54.2s     
  72       0.221500     0.000500       55.2s     
  73       0.221486     0.000500       54.4s     
  74       0.212609     0.000500       55.3s     
  75       0.214365     0.000500       54.0s     
  76       0.210089     0.000500       54.6s     
  77       0.212909     0.000500       53.4s     
  78       0.211933     0.000500       55.4s     
  79       0.207445     0.000500       55.5s     
  80       0.217765     0.000500       55.7s     
  81       0.204304     0.000500       56.0s     
  82       0.199526     0.000500       54.5s     
  83       0.210955     0.000500       54.2s     
  84       0.204999     0.000500       54.9s     
  85       0.208682     0.000500       54.8s     
  86       0.201855     0.000500       54.0s     
  87       0.200498     0.000500       54.4s     
  88       0.196899     0.000500       54.4s     
  89       0.195910     0.000500       55.8s     
  90       0.193368     0.000500       55.7s     
  91       0.200105     0.000500       54.3s     
  92       0.205519     0.000500       55.4s     
  93       0.194890     0.000500       55.0s     
  94       0.193894     0.000500       53.7s     
  95       0.191472     0.000500       55.4s     
  96       0.188409     0.000500       53.8s     
  97       0.194291     0.000500       55.1s     
  98       0.193121     0.000500       54.2s     
  99       0.193295     0.000500       54.4s     
  100      0.192166     0.000500       54.0s     

-- END OF TRAINING --------------------------------------------------

-- EVALUATION -------------------------------------------------------

  Evaluated at   : 2026-04-18 00:33:38
  Threshold      : 0.35

  Accuracy       : 0.9419
  Precision      : 0.2753
  Recall         : 0.8830
  F1-Score       : 0.4197

  Max prob       : 0.9988
  Mean prob      : 0.0745
  % active preds : 0.0763
  % active labels: 0.0238

======================================================================

