======================================================================
  EXPERIMENT LOG
  Started : 2026-04-20 20:09:23
  File    : 2026-04-20_20-09_pw2.5_lr0.001_hs512.log
======================================================================

-- HYPERPARAMETERS --------------------------------------------------

  [ Model ]
  input_features     : 84
  hidden_size        : 512
  lstm_layers        : 3
  dropout            : 0.5

  [ Training ]
  batch_size         : 16
  learning_rate      : 0.001
  epochs             : 100
  pos_weight         : 2.5
  scheduler_patience : 8
  scheduler_factor   : 0.5

  [ Dataset ]
  chunk_duration     : 5.0 s
  sample_rate        : 22050 Hz

  [ Evaluation ]
  threshold          : 0.5

-- TRAINING ---------------------------------------------------------

  Epoch    Loss         LR             Time      
  -------- ------------ -------------- ----------
  1        0.222939     0.001000       56.1s     
  2        0.198586     0.001000       56.7s     
  3        0.199791     0.001000       57.4s     
  4        0.197661     0.001000       60.2s     
  5        0.192779     0.001000       60.6s     
  6        0.198661     0.001000       60.1s     
  7        0.205265     0.001000       61.2s     
  8        0.198078     0.001000       61.3s     
  9        0.196493     0.001000       61.2s     
  10       0.202054     0.001000       61.8s     
  11       0.201776     0.001000       62.9s     
  12       0.204042     0.001000       62.8s     
  13       0.198465     0.001000       62.5s     
  14       0.200283     0.000500       62.2s     
  15       0.195469     0.000500       63.2s     
  16       0.197527     0.000500       63.0s     
  17       0.198299     0.000500       63.7s     
  18       0.195704     0.000500       63.9s     
  19       0.197167     0.000500       64.1s     
  20       0.198464     0.000500       64.8s     
  21       0.196582     0.000500       63.7s     
  22       0.194624     0.000500       65.3s     
  23       0.195798     0.000250       64.2s     
  24       0.198174     0.000250       65.1s     
  25       0.196623     0.000250       65.9s     
  26       0.193439     0.000250       62.4s     
  27       0.198310     0.000250       62.5s     
  28       0.196431     0.000250       65.0s     
  29       0.193897     0.000250       66.6s     
  30       0.197548     0.000250       65.0s     
  31       0.198360     0.000250       63.9s     
  32       0.195801     0.000125       64.4s     
  33       0.195914     0.000125       63.1s     
  34       0.193593     0.000125       64.8s     
  35       0.197196     0.000125       65.5s     
  36       0.195258     0.000125       64.6s     
  37       0.193110     0.000125       63.9s     
  38       0.194155     0.000125       64.1s     
  39       0.195924     0.000125       67.0s     
  40       0.196151     0.000125       65.3s     
  41       0.196113     0.000063       64.0s     
  42       0.194660     0.000063       64.9s     
  43       0.197402     0.000063       64.3s     
  44       0.193431     0.000063       64.3s     
  45       0.192060     0.000063       66.3s     
  46       0.195956     0.000063       64.6s     
  47       0.195134     0.000063       65.5s     
  48       0.192863     0.000063       64.2s     
  49       0.195807     0.000063       64.1s     
  50       0.191449     0.000063       65.9s     
  51       0.195069     0.000063       63.1s     
  52       0.190974     0.000063       63.4s     
  53       0.187387     0.000063       66.1s     
  54       0.189245     0.000063       64.6s     
  55       0.196785     0.000063       66.4s     
  56       0.193952     0.000063       64.4s     
  57       0.194847     0.000063       64.2s     
  58       0.193768     0.000063       64.6s     
  59       0.192590     0.000063       64.1s     
  60       0.194867     0.000063       64.7s     
  61       0.190543     0.000063       65.0s     
  62       0.192829     0.000031       65.1s     
  63       0.192007     0.000031       64.6s     
  64       0.193640     0.000031       64.6s     
  65       0.191290     0.000031       64.2s     
  66       0.191795     0.000031       64.8s     
  67       0.194609     0.000031       64.8s     
  68       0.192606     0.000031       62.6s     
  69       0.188085     0.000031       65.4s     
  70       0.192346     0.000031       66.9s     
  71       0.190482     0.000016       63.7s     
  72       0.193688     0.000016       64.7s     
  73       0.191538     0.000016       64.7s     
  74       0.190082     0.000016       65.1s     
  75       0.190783     0.000016       64.2s     
  76       0.190354     0.000016       64.9s     
  77       0.188663     0.000016       63.5s     
  78       0.191614     0.000016       64.9s     
  79       0.190838     0.000016       65.5s     
  80       0.195011     0.000008       65.0s     
  81       0.190760     0.000008       66.3s     
  82       0.192884     0.000008       64.4s     
  83       0.192521     0.000008       64.4s     
  84       0.192791     0.000008       64.9s     
  85       0.193122     0.000008       64.4s     
  86       0.190428     0.000008       64.2s     
  87       0.190208     0.000008       64.6s     
  88       0.191084     0.000008       64.3s     
  89       0.191965     0.000004       65.4s     
  90       0.190155     0.000004       65.2s     
  91       0.192065     0.000004       64.6s     
  92       0.192155     0.000004       65.2s     
  93       0.188921     0.000004       64.7s     
  94       0.190894     0.000004       63.1s     
  95       0.194231     0.000004       65.1s     
  96       0.191356     0.000004       62.5s     
  97       0.192851     0.000004       65.2s     
  98       0.189378     0.000002       64.0s     
  99       0.187527     0.000002       64.8s     
  100      0.189335     0.000002       63.9s     

-- END OF TRAINING --------------------------------------------------

-- EVALUATION -------------------------------------------------------

  Evaluated at   : 2026-04-20 22:06:32
  Threshold      : 0.5

  Accuracy       : 0.9774
  Precision      : 0.0000
  Recall         : 0.0000
  F1-Score       : 0.0000

  Max prob       : 0.2062
  Mean prob      : 0.0536
  % active preds : 0.0000
  % active labels: 0.0226

======================================================================

