======================================================================
  EXPERIMENT LOG
  Started : 2026-05-22 13:45:57
  File    : 2026-05-22_13-45_pw15.0_lr0.0005_hs512.log
======================================================================

-- HYPERPARAMETERS --------------------------------------------------

  [ Model ]
  input_features     : 84
  hidden_size        : 512
  lstm_layers        : 3
  dropout            : 0.5

  [ Training ]
  batch_size         : 16
  learning_rate      : 0.0005
  epochs             : 100
  pos_weight         : 15.0
  scheduler_patience : 8
  scheduler_factor   : 0.3

  [ Dataset ]
  chunk_duration     : 5.0 s
  sample_rate        : 22050 Hz

  [ Evaluation ]
  threshold          : 0.4

-- TRAINING ---------------------------------------------------------

  Epoch    Train Loss   Val Loss     LR             Time      
  -------- ------------ -------------- ----------
  1        0.663627     0.634785     0.000500       47.1s     
  2        0.646522     0.650498     0.000500       45.6s     
  3        0.632617     0.609002     0.000500       48.2s     
  4        0.612192     0.610992     0.000500       48.5s     
  5        0.600031     0.596507     0.000500       50.2s     
  6        0.592465     0.571265     0.000500       50.7s     
  7        0.580929     0.596190     0.000500       50.9s     
  8        0.568226     0.559834     0.000500       51.6s     
  9        0.564328     0.558323     0.000500       54.1s     
  10       0.543754     0.540047     0.000500       65.0s     
  11       0.519066     0.528069     0.000500       67.0s     
  12       0.504109     0.522890     0.000500       67.2s     
  13       0.486439     0.500077     0.000500       66.8s     
  14       0.475856     0.485449     0.000500       67.3s     
  15       0.489995     0.498549     0.000500       67.2s     
  16       0.461693     0.460077     0.000500       67.7s     
  17       0.455823     0.497675     0.000500       66.7s     
  18       0.452986     0.456271     0.000500       67.5s     
  19       0.447260     0.440375     0.000500       66.0s     
  20       0.439156     0.453577     0.000500       65.4s     
  21       0.440393     0.448851     0.000500       66.1s     
  22       0.443827     0.461116     0.000500       65.7s     
  23       0.420233     0.440436     0.000500       67.2s     
  24       0.421354     0.459982     0.000500       68.9s     
  25       0.409885     0.425964     0.000500       67.6s     
  26       0.408892     0.420604     0.000500       68.0s     
  27       0.400432     0.400853     0.000500       67.5s     
  28       0.398416     0.414655     0.000500       67.1s     
  29       0.393023     0.401690     0.000500       67.1s     
  30       0.383088     0.389741     0.000500       68.3s     
  31       0.359923     0.378661     0.000500       67.7s     
  32       0.358028     0.386621     0.000500       66.3s     
  33       0.356415     0.375929     0.000500       66.3s     
  34       0.351898     0.364745     0.000500       67.1s     
  35       0.340003     0.339907     0.000500       67.3s     
  36       0.341676     0.352716     0.000500       67.1s     
  37       0.333942     0.354299     0.000500       65.9s     
  38       0.328996     0.327407     0.000500       65.8s     
  39       0.322761     0.353347     0.000500       66.0s     
  40       0.319971     0.333742     0.000500       66.7s     
  41       0.325614     0.332280     0.000500       67.4s     
  42       0.312865     0.331706     0.000500       67.1s     
  43       0.308781     0.326377     0.000500       67.6s     
  44       0.307946     0.327126     0.000500       67.4s     
  45       0.304023     0.317910     0.000500       66.5s     
  46       0.293742     0.299090     0.000500       70.8s     
  47       0.299699     0.315852     0.000500       68.7s     
  48       0.289108     0.316565     0.000500       68.3s     
  49       0.290757     0.311943     0.000500       67.6s     
  50       0.280467     0.290161     0.000500       68.2s     
  51       0.285124     0.297865     0.000500       67.0s     
  52       0.270489     0.281537     0.000500       67.6s     
  53       0.281253     0.304997     0.000500       68.1s     
  54       0.272494     0.297058     0.000500       66.5s     
  55       0.269504     0.276707     0.000500       66.5s     
  56       0.263236     0.312322     0.000500       68.4s     
  57       0.270313     0.288656     0.000500       67.1s     
  58       0.261577     0.283861     0.000500       69.0s     
  59       0.261105     0.276416     0.000500       68.6s     
  60       0.255693     0.273359     0.000500       68.4s     
  61       0.248226     0.277495     0.000500       68.7s     
  62       0.255735     0.286047     0.000500       69.8s     
  63       0.258300     0.275942     0.000500       70.4s     
  64       0.251109     0.262684     0.000500       69.2s     
  65       0.253878     0.276312     0.000500       70.8s     
  66       0.248699     0.260808     0.000500       69.3s     
  67       0.247250     0.259964     0.000500       67.0s     
  68       0.245430     0.252178     0.000500       67.7s     
  69       0.234043     0.259708     0.000500       68.5s     
  70       0.240620     0.252635     0.000500       69.4s     
  71       0.245531     0.250519     0.000500       67.2s     
  72       0.239040     0.259757     0.000500       66.8s     
  73       0.233095     0.230379     0.000500       69.3s     
  74       0.228786     0.245273     0.000500       67.0s     
  75       0.232705     0.239038     0.000500       66.6s     
  76       0.233170     0.248551     0.000500       69.6s     
  77       0.232589     0.252596     0.000500       71.7s     
  78       0.234200     0.248909     0.000500       68.8s     
  79       0.228704     0.251303     0.000500       68.0s     
  80       0.229748     0.242031     0.000500       67.8s     
  81       0.225816     0.263576     0.000500       69.7s     
  82       0.226739     0.254346     0.000150       69.7s     
  83       0.217767     0.245150     0.000150       69.4s     
  84       0.213362     0.232794     0.000150       69.1s     
  85       0.213767     0.238796     0.000150       68.2s     
  86       0.207921     0.228121     0.000150       69.1s     
  87       0.210157     0.229896     0.000150       69.0s     
  88       0.208338     0.235384     0.000150       71.3s     
  89       0.207319     0.239846     0.000150       68.8s     
  90       0.209501     0.239484     0.000150       69.3s     
  91       0.210148     0.239229     0.000150       69.9s     
  92       0.206457     0.234567     0.000150       69.1s     
  93       0.205970     0.222776     0.000150       67.8s     
  94       0.210118     0.237786     0.000150       69.3s     
  95       0.205068     0.240157     0.000150       70.2s     
  96       0.207970     0.217303     0.000150       70.0s     
  97       0.209023     0.249036     0.000150       69.3s     
  98       0.212573     0.220951     0.000150       70.9s     
  99       0.208364     0.250744     0.000150       70.7s     
  100      0.206554     0.214592     0.000150       69.6s     

-- END OF TRAINING --------------------------------------------------

-- EVALUATION -------------------------------------------------------

  Evaluated at   : 2026-05-22 17:22:09
  Threshold      : 0.4

  Accuracy       : 0.9282
  Precision      : 0.1514
  Recall         : 0.4391
  F1-Score       : 0.2252

  Max prob       : 0.9991
  Mean prob      : 0.0732
  % active preds : 0.0689
  % active labels: 0.0238

======================================================================

