======================================================================
  EXPERIMENT LOG  -  Phase 3: CNN + BiLSTM
  Started : 2026-05-31 17:51:14
  File    : 2026-05-31_17-51_cqt_pwp3.0_lr0.001_hs256.log
======================================================================

-- HYPERPARAMETERS --------------------------------------------------

  [ Features ]
  type               : cqt
  hop_length         : 512
  params             : cqt_bins=84
  input_features     : 84

  [ Model ]
  dropout            : 0.3
  hidden_size        : 256
  lstm_layers        : 1
  multi_output       : False

  [ Training ]
  batch_size         : 12
  learning_rate      : 0.001
  epochs             : 120
  pos_weight_pitch   : 3.0
  pos_weight_onset   : 25.0
  pos_weight_offset  : 25.0
  loss_weight_pitch  : 1.0
  loss_weight_onset  : 0.0
  loss_weight_offset : 0.0
  scheduler_patience : 12
  scheduler_factor   : 0.7
  grad_clip          : 1.0

  [ Dataset ]
  chunk_duration     : 7.0 s
  sample_rate        : 22050 Hz
  augmentation       : OFF

  [ Evaluation ]
  threshold_pitch    : 0.4
  threshold_onset    : 0.2
  threshold_offset   : 0.2

-- TRAINING ---------------------------------------------------------

  Epoch    Train Loss     Val Loss       LR             Time      
  -------- -------------- -------------- -------------- ----------
  1        0.554774       0.362133       0.001000       35.4s     
  2        0.355727       0.310742       0.001000       22.5s     
  3        0.323529       0.298467       0.001000       22.6s     
  4        0.310407       0.275973       0.001000       22.6s     
  5        0.299119       0.294001       0.001000       22.1s     
  6        0.295477       0.284006       0.001000       22.4s     
  7        0.305513       0.299531       0.001000       22.8s     
  8        0.292774       0.276422       0.001000       22.5s     
  9        0.291282       0.280886       0.001000       22.6s     
  10       0.297893       0.278546       0.001000       22.6s     
  11       0.297560       0.273293       0.001000       22.7s     
  12       0.299098       0.274745       0.001000       22.2s     
  13       0.290719       0.313422       0.001000       22.2s     
  14       0.291595       0.294306       0.001000       22.2s     
  15       0.283911       0.271568       0.001000       22.2s     
  16       0.277748       0.283113       0.001000       22.7s     
  17       0.273798       0.291152       0.001000       25.4s     
  18       0.286860       0.293964       0.001000       33.1s     
  19       0.273112       0.291954       0.001000       32.0s     
  20       0.277303       0.282113       0.001000       29.8s     
  21       0.275670       0.290401       0.001000       28.6s     
  22       0.279594       0.296661       0.001000       28.8s     
  23       0.277160       0.275275       0.001000       30.1s     
  24       0.288462       0.287240       0.001000       27.9s     
  25       0.273834       0.262921       0.001000       25.8s     
  26       0.276267       0.272755       0.001000       27.4s     
  27       0.270631       0.273920       0.001000       27.4s     
  28       0.273065       0.263965       0.001000       27.7s     
  29       0.270374       0.275683       0.001000       27.0s     
  30       0.266633       0.267570       0.001000       28.5s     
  31       0.264618       0.256653       0.001000       28.9s     
  32       0.257471       0.295849       0.001000       27.7s     
  33       0.262141       0.264064       0.001000       27.2s     
  34       0.253950       0.275283       0.001000       28.3s     
  35       0.251459       0.248402       0.001000       28.3s     
  36       0.251390       0.238357       0.001000       28.6s     
  37       0.247922       0.276142       0.001000       34.1s     
  38       0.247757       0.258875       0.001000       22.3s     
  39       0.249247       0.241211       0.001000       22.5s     
  40       0.253699       0.254907       0.001000       22.6s     
  41       0.266368       0.250604       0.001000       22.8s     
  42       0.252662       0.262779       0.001000       22.3s     
  43       0.254428       0.249906       0.001000       22.6s     
  44       0.247042       0.240703       0.001000       22.6s     
  45       0.239149       0.227583       0.001000       21.7s     
  46       0.246878       0.233527       0.001000       22.4s     
  47       0.228593       0.231258       0.001000       22.3s     
  48       0.247586       0.259842       0.001000       21.5s     
  49       0.241914       0.220208       0.001000       22.0s     
  50       0.240461       0.232412       0.001000       21.9s     
  51       0.236940       0.262142       0.001000       22.7s     
  52       0.237907       0.229918       0.001000       21.1s     
  53       0.231020       0.227350       0.001000       22.2s     
  54       0.234929       0.227164       0.001000       28.5s     
  55       0.228517       0.225619       0.001000       24.6s     
  56       0.225389       0.226293       0.001000       21.2s     
  57       0.217749       0.223976       0.001000       21.6s     
  58       0.229283       0.231842       0.001000       20.8s     
  59       0.226019       0.246860       0.001000       20.5s     
  60       0.220259       0.234961       0.001000       21.7s     
  61       0.229557       0.221672       0.001000       20.5s     
  62       0.225561       0.226365       0.000700       20.6s     
  63       0.221625       0.205542       0.000700       20.5s     
  64       0.216632       0.218963       0.000700       19.8s     
  65       0.216468       0.220244       0.000700       20.7s     
  66       0.221261       0.196280       0.000700       20.5s     
  67       0.214223       0.194236       0.000700       21.6s     
  68       0.207532       0.199133       0.000700       20.8s     
  69       0.205959       0.203133       0.000700       20.1s     
  70       0.209961       0.207937       0.000700       20.6s     
  71       0.203963       0.215197       0.000700       20.9s     
  72       0.207516       0.206989       0.000700       20.9s     
  73       0.206758       0.204238       0.000700       20.0s     
  74       0.197336       0.210115       0.000700       19.7s     
  75       0.209173       0.204571       0.000700       20.5s     
  76       0.199459       0.199810       0.000700       19.8s     
  77       0.203831       0.206120       0.000700       20.1s     
  78       0.208737       0.184661       0.000700       20.9s     
  79       0.208816       0.199935       0.000700       19.9s     
  80       0.209115       0.188714       0.000700       20.1s     
  81       0.200506       0.191285       0.000700       20.3s     
  82       0.205569       0.200263       0.000700       20.3s     
  83       0.198707       0.199171       0.000700       19.3s     
  84       0.200241       0.199990       0.000700       20.6s     
  85       0.210777       0.194522       0.000700       19.5s     
  86       0.197652       0.215582       0.000700       20.4s     
  87       0.200837       0.214198       0.000700       19.9s     
  88       0.193015       0.189003       0.000700       19.6s     
  89       0.198150       0.185827       0.000700       19.7s     
  90       0.192111       0.182517       0.000700       19.6s     
  91       0.199545       0.194007       0.000700       18.2s     
  92       0.192655       0.181894       0.000700       14.5s     
  93       0.194608       0.185631       0.000700       15.1s     
  94       0.193414       0.193371       0.000700       16.9s     
  95       0.189737       0.178197       0.000700       26.9s     
  96       0.191459       0.180146       0.000700       25.5s     
  97       0.187279       0.167622       0.000700       22.2s     
  98       0.214141       0.199687       0.000700       14.9s     
  99       0.190320       0.180877       0.000700       14.4s     
  100      0.186295       0.199400       0.000700       14.4s     
  101      0.191154       0.195431       0.000700       14.7s     
  102      0.180457       0.191228       0.000700       14.4s     
  103      0.186824       0.167632       0.000700       14.0s     
  104      0.190983       0.204608       0.000700       14.0s     
  105      0.189814       0.178932       0.000700       13.7s     
  106      0.184379       0.183038       0.000700       14.2s     
  107      0.188017       0.171808       0.000700       13.8s     
  108      0.195561       0.183947       0.000700       13.8s     
  109      0.190405       0.177467       0.000700       14.2s     
  110      0.186335       0.171307       0.000490       16.9s     
  111      0.176039       0.179527       0.000490       19.7s     
  112      0.190344       0.176062       0.000490       19.5s     
  113      0.187643       0.172818       0.000490       18.9s     
  114      0.188398       0.187703       0.000490       20.0s     
  115      0.183811       0.181499       0.000490       19.7s     
  116      0.192052       0.180590       0.000490       19.7s     
  117      0.180419       0.190766       0.000490       19.0s     
  118      0.189097       0.186461       0.000490       19.7s     
  119      0.184148       0.193273       0.000490       18.9s     
  120      0.199698       0.171786       0.000490       20.1s     

-- END OF TRAINING --------------------------------------------------

-- EVALUATION -------------------------------------------------------

  Evaluated at   : 2026-05-31 18:35:23

  [ PITCH - threshold=0.4 ]
  Accuracy       : 0.9543
  Precision      : 0.4249
  Recall         : 0.4980
  F1-Score       : 0.4586
  Max prob       : 0.9173
  Mean prob      : 0.0796
  % active preds : 0.0456
  % active labels: 0.0389

  [ ONSET - threshold=0.2 ]
  Accuracy       : 0.0000
  Precision      : 0.0000
  Recall         : 0.0000
  F1-Score       : 0.0000
  Max prob       : 0.0000
  Mean prob      : 0.0000
  % active preds : 0.0000
  % active labels: 0.0000

  [ OFFSET - threshold=0.2 ]
  Accuracy       : 0.0000
  Precision      : 0.0000
  Recall         : 0.0000
  F1-Score       : 0.0000
  Max prob       : 0.0000
  Mean prob      : 0.0000
  % active preds : 0.0000
  % active labels: 0.0000

======================================================================

